City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
244,Ushtobe,KZ,45.2514,77.9838,19.81,84,5,7.7,clear sky
245,Miri,MY,4.4148,114.0089,76.19,92,99,3.24,light rain
246,Butaritari,KI,3.0707,172.7902,81.68,70,96,13.42,overcast clouds
247,Ilhabela,BR,-23.7781,-45.3581,71.92,73,69,4.32,broken clouds
248,Biltine,TD,14.5333,20.9167,83.7,10,0,7.76,clear sky
249,Eschwege,DE,51.1833,10.0667,46.94,91,98,11.1,overcast clouds
250,Madhugiri,IN,13.6606,77.2092,65.88,92,100,4.18,overcast clouds
251,Svecha,RU,58.2785,47.5164,36.72,64,91,10.65,overcast clouds
252,Filimonovo,RU,56.2011,95.4611,35.06,69,100,21.16,overcast clouds
253,Camara De Lobos,PT,32.6333,-16.9667,67.71,77,40,1.99,scattered clouds
254,Isangel,VU,-19.55,169.2667,71.42,86,65,7.07,broken clouds
255,Douentza,ML,14.9951,-2.9517,92.89,18,83,6.13,broken clouds
256,Boyolangu,ID,-8.1181,111.8935,76.68,90,100,1.77,overcast clouds
257,Gobabis,NA,-22.45,18.9667,86.67,15,100,12.17,overcast clouds
258,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,100,3.11,overcast clouds
259,Ponta Delgada,PT,37.7333,-25.6667,71.51,73,20,13.8,few clouds
260,Tombouctou,ML,20.0,-3.0,84.96,17,95,5.88,overcast clouds
261,Sirawai,PH,7.5854,122.1407,79.74,87,48,5.19,scattered clouds
262,Preston,GB,53.7667,-2.7167,51.75,79,96,13.73,overcast clouds
263,Berbera,SO,10.4396,45.0143,82.92,58,5,0.49,clear sky
264,Klaksvik,FO,62.2266,-6.589,41.92,69,100,8.7,overcast clouds
265,Booue,GA,-0.0921,11.9385,74.97,91,94,2.55,light rain
266,Manavalakurichi,IN,8.1333,77.3,80.69,85,100,9.06,overcast clouds
267,Meulaboh,ID,4.1363,96.1285,75.76,95,100,7.02,moderate rain
268,San Isidro,PE,-12.1167,-77.05,66.25,80,75,5.01,broken clouds
269,Coruripe,BR,-10.1256,-36.1756,82.36,71,42,17.56,scattered clouds
270,Avarua,CK,-21.2078,-159.775,75.25,64,96,9.22,overcast clouds
271,Alta Floresta,BR,-9.8756,-56.0861,83.71,62,89,5.12,overcast clouds
272,Kharian,PK,32.8149,73.8636,60.15,30,0,5.95,clear sky
273,Oyama,JP,36.3,139.8,56.03,74,100,5.77,overcast clouds
274,Pangoa,PE,-12.1167,-73.0,78.3,84,100,1.77,overcast clouds
275,Auki,SB,-8.7676,160.7034,76.93,86,37,4.12,scattered clouds
276,Port-Gentil,GA,-0.7193,8.7815,79.32,84,100,11.41,overcast clouds
277,Hadejia,NG,12.4498,10.0444,86.43,16,100,9.13,overcast clouds
278,San Patricio,US,28.017,-97.5169,79.02,47,1,6.2,clear sky
279,Drawsko Pomorskie,PL,53.5306,15.8097,42.67,92,36,1.99,scattered clouds
280,Hamilton,US,39.1834,-84.5333,64.36,42,1,1.01,clear sky
281,Carnarvon,AU,-24.8667,113.6333,66.27,68,75,19.57,broken clouds
282,Xinzhou,CN,38.4092,112.7333,5.52,85,3,3.65,clear sky
283,San Felipe,VE,10.3399,-68.7425,87.03,57,39,6.91,scattered clouds
284,Ituango,CO,7.1712,-75.764,71.69,82,99,3.53,overcast clouds
285,Nabire,ID,-3.3667,135.4833,75.69,91,66,3.24,broken clouds
286,Margate,GB,51.3813,1.3862,48.69,68,12,1.99,few clouds
287,Ponta Do Sol,PT,32.6667,-17.1,67.71,64,5,7.11,clear sky
288,Hithadhoo,MV,-0.6,73.0833,82.18,74,97,13.6,overcast clouds
289,Vila Do Maio,CV,15.1333,-23.2167,77.79,74,19,17.2,few clouds
290,Karratha,AU,-20.7377,116.8463,73.53,65,5,16.53,clear sky
291,Mossendjo,CG,-2.9506,12.7261,71.89,96,100,0.51,moderate rain
292,Nemuro,JP,43.3236,145.575,45.52,67,94,6.17,overcast clouds
293,Vuktyl,RU,63.8567,57.3094,33.28,90,100,8.97,overcast clouds
294,Sitka,US,57.0531,-135.33,40.89,65,40,5.75,scattered clouds
295,Warrnambool,AU,-38.3833,142.4833,48.79,68,97,5.82,overcast clouds
296,Hachinohe,JP,40.5,141.5,46.49,74,19,3.44,few clouds
297,Cherskiy,RU,68.75,161.3,11.16,96,100,4.52,overcast clouds
298,Puerto Rico,AR,-26.796,-55.024,88.32,38,10,4.45,clear sky
299,Sakakah,SA,29.9697,40.2064,66.42,28,0,7.58,clear sky
300,Amuntai,ID,-2.4177,115.2494,74.03,99,100,0.85,overcast clouds
301,Pitimbu,BR,-7.4706,-34.8086,84.79,68,37,9.98,scattered clouds
302,Kyabe,TD,9.4515,18.9449,83.75,37,98,2.64,overcast clouds
303,Trincomalee,LK,8.5711,81.2335,77.65,87,100,8.34,light rain
304,Kautokeino,NO,69.0125,23.0412,5.99,88,30,3.51,scattered clouds
305,Coihaique,CL,-45.5752,-72.0662,63.21,55,75,6.91,broken clouds
306,Pouebo,NC,-20.4,164.5667,72.52,83,57,6.98,broken clouds
307,Chapais,CA,49.7834,-74.8492,38.98,90,100,7.14,overcast clouds
308,Srednekolymsk,RU,67.45,153.6833,4.42,96,100,14.07,light snow
309,Kyshtovka,RU,56.555,76.6271,29.46,71,100,14.74,overcast clouds
310,Caravelas,BR,-17.7125,-39.2481,78.13,65,100,7.87,overcast clouds
311,Kochinda,IN,21.7333,84.35,62.74,61,27,2.51,scattered clouds
312,Calbuco,CL,-41.768,-73.1273,61.81,76,100,3.76,overcast clouds
313,Oranjestad,AW,12.524,-70.027,87.75,66,20,20.71,few clouds
314,Paracuru,BR,-3.41,-39.0306,84.22,66,73,14.88,broken clouds
315,Woodward,US,36.4337,-99.3904,81.63,32,1,19.57,clear sky
316,Waddan,LY,29.1614,16.139,75.52,24,8,10.85,clear sky
317,Sept-Iles,CA,50.2001,-66.3821,47.05,81,100,5.99,overcast clouds
318,Kontagora,NG,10.3999,5.4695,80.58,34,81,3.85,broken clouds
319,Swan Hill,AU,-35.3378,143.5544,49.41,81,0,6.11,clear sky
320,Lasa,IT,46.6166,10.7002,37.36,48,52,3.6,broken clouds
321,Xinan,CN,26.72,119.8556,68.22,94,100,4.63,light rain
322,Aklavik,CA,68.2191,-135.0107,8.6,92,90,2.3,overcast clouds
323,Pochutla,MX,15.7432,-96.4661,89.82,50,33,7.31,scattered clouds
324,Moose Factory,CA,51.2585,-80.6094,49.32,76,100,10.27,overcast clouds
325,Kalmunai,LK,7.4167,81.8167,76.96,88,100,4.18,heavy intensity rain
326,Vallenar,CL,-28.5708,-70.7581,83.68,19,1,10.78,clear sky
327,Avera,US,33.194,-82.5271,68.68,30,0,12.17,clear sky
328,Betare Oya,CM,5.6,14.0833,71.08,87,55,1.63,broken clouds
329,Ambilobe,MG,-13.2,49.05,78.26,77,19,1.79,few clouds
330,Lamu,KE,-2.2717,40.902,77.22,76,92,13.18,overcast clouds
331,Verkhnetulomskiy,RU,68.6073,31.7962,19.53,94,100,3.56,overcast clouds
332,Camacha,PT,33.0833,-16.3333,63.82,55,40,8.05,scattered clouds
333,Ahuimanu,US,21.4447,-157.8378,80.31,66,75,17.27,broken clouds
334,Amalapuram,IN,16.5833,82.0167,77.38,78,89,4.43,overcast clouds
335,Innisfail,AU,-17.5333,146.0333,77.02,84,93,1.3,overcast clouds
336,Luebo,CD,-5.35,21.4167,74.59,80,100,0.67,overcast clouds
337,Agadez,NE,19.75,10.25,76.35,13,6,2.84,clear sky
338,Zyryanka,RU,65.75,150.85,5.11,95,100,16.42,light snow
339,Cartagena,CO,10.3997,-75.5144,87.42,74,40,10.36,scattered clouds
340,Natal,BR,-5.795,-35.2094,86.65,62,20,17.27,few clouds
341,Nakamura,JP,32.9833,132.9333,66.43,80,100,8.68,overcast clouds
342,Mackenzie,CA,55.2999,-123.1698,32.45,73,100,6.15,overcast clouds
343,Poum,NC,-20.2333,164.0167,74.66,78,91,10.96,overcast clouds
344,Merauke,ID,-8.4667,140.3333,78.49,89,100,4.97,overcast clouds
